ledger_entry_id,order_id,debit,credit,posted_at,description
led_5000,order_1000,0.00,1000.00,2026-08-03T10:00:00+05:30,Sale order_1000
led_5001,order_1001,0.00,1013.73,2026-08-03T11:00:00+05:30,Sale order_1001
led_5002,order_1002,0.00,1027.46,2026-08-03T12:00:00+05:30,Sale order_1002
led_5003,order_1003,0.00,1041.19,2026-08-03T13:00:00+05:30,Sale order_1003
led_5004,order_1004,0.00,1054.92,2026-08-03T14:00:00+05:30,Sale order_1004
led_5005,order_1005,0.00,1068.65,2026-08-03T15:00:00+05:30,Sale order_1005
led_5006,order_1006,0.00,1082.38,2026-08-03T16:00:00+05:30,Sale order_1006
led_5007,order_1007,0.00,1096.11,2026-08-03T17:00:00+05:30,Sale order_1007
led_5008,order_1008,0.00,1109.84,2026-08-03T18:00:00+05:30,Sale order_1008
led_5009,order_1009,0.00,1123.57,2026-08-03T19:00:00+05:30,Sale order_1009
led_5010,order_1010,0.00,1137.30,2026-08-03T20:00:00+05:30,Sale order_1010
led_5011,order_1011,0.00,1151.03,2026-08-03T21:00:00+05:30,Sale order_1011
led_5012,order_1012,0.00,1164.76,2026-08-03T22:00:00+05:30,Sale order_1012
led_5013,order_1013,0.00,1178.49,2026-08-03T23:00:00+05:30,Sale order_1013
led_5014,order_1014,0.00,1192.22,2026-08-04T00:00:00+05:30,Sale order_1014
led_5015,order_1015,0.00,1205.95,2026-08-04T01:00:00+05:30,Sale order_1015
led_5016,order_1016,0.00,1219.68,2026-08-04T02:00:00+05:30,Sale order_1016
led_5017,order_1017,0.00,1233.41,2026-08-04T03:00:00+05:30,Sale order_1017
led_5018,order_1018,0.00,1247.14,2026-08-04T04:00:00+05:30,Sale order_1018
led_5019,order_1019,0.00,1260.87,2026-08-04T05:00:00+05:30,Sale order_1019
led_5020,order_1020,0.00,1274.60,2026-08-04T06:00:00+05:30,Sale order_1020
led_5021,order_1021,0.00,1288.33,2026-08-04T07:00:00+05:30,Sale order_1021
led_5022,order_1022,0.00,1302.06,2026-08-04T08:00:00+05:30,Sale order_1022
led_5023,order_1023,0.00,1315.79,2026-08-04T09:00:00+05:30,Sale order_1023
led_5024,order_1024,0.00,1329.52,2026-08-04T10:00:00+05:30,Sale order_1024
led_5025,order_1025,0.00,1343.25,2026-08-04T11:00:00+05:30,Sale order_1025
led_5026,order_1026,0.00,1356.98,2026-08-04T12:00:00+05:30,Sale order_1026
led_5027,order_1027,0.00,1370.71,2026-08-04T13:00:00+05:30,Sale order_1027
led_5028,order_1028,0.00,1384.44,2026-08-04T14:00:00+05:30,Sale order_1028
led_5029,order_1029,0.00,1398.17,2026-08-04T15:00:00+05:30,Sale order_1029
led_5030,order_1030,0.00,1411.90,2026-08-04T16:00:00+05:30,Sale order_1030
led_5031,order_1031,0.00,1425.63,2026-08-04T17:00:00+05:30,Sale order_1031
led_5032,order_1032,0.00,1439.36,2026-08-04T18:00:00+05:30,Sale order_1032
led_5033,order_1033,0.00,1453.09,2026-08-04T19:00:00+05:30,Sale order_1033
led_5034,order_1034,0.00,1466.82,2026-08-04T20:00:00+05:30,Sale order_1034
led_5035,order_1035,0.00,1480.55,2026-08-04T21:00:00+05:30,Sale order_1035
led_5036,order_1036,0.00,1494.28,2026-08-04T22:00:00+05:30,Sale order_1036
led_5037,order_1037,0.00,1508.01,2026-08-04T23:00:00+05:30,Sale order_1037
led_5038,order_1038,0.00,1521.74,2026-08-05T00:00:00+05:30,Sale order_1038
led_5039,order_1039,0.00,1535.47,2026-08-05T01:00:00+05:30,Sale order_1039
led_5040,order_1040,0.00,1549.20,2026-08-05T02:00:00+05:30,Sale order_1040
led_5041,order_1041,0.00,1562.93,2026-08-05T03:00:00+05:30,Sale order_1041
led_5042,order_1042,0.00,1576.66,2026-08-05T04:00:00+05:30,Sale order_1042
led_5043,order_1043,0.00,1590.39,2026-08-05T05:00:00+05:30,Sale order_1043
led_5044,order_1044,0.00,1604.12,2026-08-05T06:00:00+05:30,Sale order_1044
led_5045,order_1045,0.00,1617.85,2026-08-05T07:00:00+05:30,Sale order_1045
led_5046,order_1046,0.00,1631.58,2026-08-05T08:00:00+05:30,Sale order_1046
led_5047,order_1047,0.00,1645.31,2026-08-05T09:00:00+05:30,Sale order_1047
led_5048,order_1048,0.00,1659.04,2026-08-05T10:00:00+05:30,Sale order_1048
led_5049,order_1049,0.00,1672.77,2026-08-05T11:00:00+05:30,Sale order_1049
led_5050,order_1050,0.00,1686.50,2026-08-05T12:00:00+05:30,Sale order_1050
led_5051,order_1051,0.00,1700.23,2026-08-05T13:00:00+05:30,Sale order_1051
led_5052,order_1052,0.00,1713.96,2026-08-05T14:00:00+05:30,Sale order_1052
led_5053,order_1053,0.00,1727.69,2026-08-05T15:00:00+05:30,Sale order_1053
led_5054,order_1054,0.00,1741.42,2026-08-05T16:00:00+05:30,Sale order_1054
led_5055,order_1055,0.00,1755.15,2026-08-05T17:00:00+05:30,Sale order_1055
led_5056,order_1056,0.00,1768.88,2026-08-05T18:00:00+05:30,Sale order_1056
led_5057,order_1057,0.00,1782.61,2026-08-05T19:00:00+05:30,Sale order_1057
led_5058,order_1058,0.00,1796.34,2026-08-05T20:00:00+05:30,Sale order_1058
led_5059,order_1059,0.00,1810.07,2026-08-05T21:00:00+05:30,Sale order_1059
led_5060,order_1060,0.00,1823.80,2026-08-05T22:00:00+05:30,Sale order_1060
led_5061,order_1061,0.00,1837.53,2026-08-05T23:00:00+05:30,Sale order_1061
led_5062,order_1062,0.00,1851.26,2026-08-06T00:00:00+05:30,Sale order_1062
led_5063,order_1063,0.00,1864.99,2026-08-06T01:00:00+05:30,Sale order_1063
led_5064,order_1064,0.00,1878.72,2026-08-06T02:00:00+05:30,Sale order_1064
led_5065,order_1065,0.00,1892.45,2026-08-06T03:00:00+05:30,Sale order_1065
led_5066,order_1066,0.00,1906.18,2026-08-06T04:00:00+05:30,Sale order_1066
led_5067,order_1067,0.00,1919.91,2026-08-06T05:00:00+05:30,Sale order_1067
led_5068,order_1068,0.00,1933.64,2026-08-06T06:00:00+05:30,Sale order_1068
led_5069,order_1069,0.00,1947.37,2026-08-06T07:00:00+05:30,Sale order_1069
led_5070,order_1070,0.00,1961.10,2026-08-06T08:00:00+05:30,Sale order_1070
led_5071,order_1071,0.00,1974.83,2026-08-06T09:00:00+05:30,Sale order_1071
led_5072,order_1072,0.00,1988.56,2026-08-06T10:00:00+05:30,Sale order_1072
led_5073,order_1073,0.00,2002.29,2026-08-06T11:00:00+05:30,Sale order_1073
led_5074,order_1074,0.00,2016.02,2026-08-06T12:00:00+05:30,Sale order_1074
led_5075,order_1075,0.00,2029.75,2026-08-06T13:00:00+05:30,Sale order_1075
led_5076,order_1076,0.00,2043.48,2026-08-06T14:00:00+05:30,Sale order_1076
led_5077,order_1077,0.00,2057.21,2026-08-06T15:00:00+05:30,Sale order_1077
led_5078,order_1078,0.00,2070.94,2026-08-06T16:00:00+05:30,Sale order_1078
led_5079,order_1079,0.00,2084.67,2026-08-06T17:00:00+05:30,Sale order_1079
led_5080,order_1080,0.00,2098.40,2026-08-06T18:00:00+05:30,Sale order_1080
led_5081,order_1081,0.00,2112.13,2026-08-06T19:00:00+05:30,Sale order_1081
led_5082,order_1082,0.00,2125.86,2026-08-06T20:00:00+05:30,Sale order_1082
led_5083,order_1083,0.00,2139.59,2026-08-06T21:00:00+05:30,Sale order_1083
led_5084,order_1084,0.00,2153.32,2026-08-06T22:00:00+05:30,Sale order_1084
led_5085,order_1085,0.00,2167.05,2026-08-06T23:00:00+05:30,Sale order_1085
led_5086,order_1086,0.00,2180.78,2026-08-07T00:00:00+05:30,Sale order_1086
led_5087,order_1087,0.00,2194.51,2026-08-07T01:00:00+05:30,Sale order_1087
led_5088,order_1088,0.00,2208.24,2026-08-07T02:00:00+05:30,Sale order_1088
led_6088,order_1088,0.00,2208.24,2026-08-07T02:00:00+05:30,Sale order_1088 (duplicate import)
led_5089,order_1089,0.00,2221.97,2026-08-07T03:00:00+05:30,Sale order_1089
led_6089,order_1089,0.00,2221.97,2026-08-07T03:00:00+05:30,Sale order_1089 (duplicate import)
led_5090,order_1090,0.00,2235.70,2026-08-07T04:00:00+05:30,Sale order_1090
led_6090,order_1090,0.00,2235.70,2026-08-07T04:00:00+05:30,Sale order_1090 (duplicate import)
led_5091,order_1091,0.00,2249.43,2026-08-07T05:00:00+05:30,Sale order_1091
led_6091,order_1091,0.00,2249.43,2026-08-07T05:00:00+05:30,Sale order_1091 (duplicate import)
led_5092,order_1092,0.00,2263.16,2026-08-07T06:00:00+05:30,Sale order_1092
led_6092,order_1092,0.00,2263.16,2026-08-07T06:00:00+05:30,Sale order_1092 (duplicate import)
led_5093,order_1093,0.00,2276.89,2026-08-07T07:00:00+05:30,Sale order_1093
led_5094,order_1094,0.00,2290.62,2026-08-07T08:00:00+05:30,Sale order_1094
led_5095,order_1095,0.00,2304.35,2026-08-07T09:00:00+05:30,Sale order_1095
led_5096,order_1096,0.00,2318.08,2026-08-07T10:00:00+05:30,Sale order_1096
led_5097,order_1097,0.00,2331.81,2026-08-07T11:00:00+05:30,Sale order_1097
led_5098,order_1098,0.00,2345.54,2026-08-07T12:00:00+05:30,Sale order_1098
led_5099,order_1099,0.00,2359.27,2026-08-07T13:00:00+05:30,Sale order_1099
