refund_id,payment_id,refund_amount,created_at,status
rfnd_7050,pay_1050,337.30,2026-08-05T18:00:00+05:30,processed
rfnd_7051,pay_1051,340.04,2026-08-05T19:00:00+05:30,processed
rfnd_7052,pay_1052,342.79,2026-08-05T20:00:00+05:30,processed
rfnd_7053,pay_1053,345.53,2026-08-05T21:00:00+05:30,processed
rfnd_7054,pay_1054,348.28,2026-08-05T22:00:00+05:30,processed
rfnd_7055,pay_1055,351.03,2026-08-05T23:00:00+05:30,processed
rfnd_7056,pay_1056,353.77,2026-08-06T00:00:00+05:30,processed
rfnd_7057,pay_1057,356.52,2026-08-06T01:00:00+05:30,processed
rfnd_7058,pay_1058,359.26,2026-08-06T02:00:00+05:30,processed
rfnd_7059,pay_1059,362.01,2026-08-06T03:00:00+05:30,processed
