settlement_id,payment_id,order_id,gross_amount,fee,tax,net_amount,settled_at,status
setl_9000,pay_1000,order_1000,1000.00,0.00,0.00,1000.00,2026-08-04T10:00:00+05:30,processed
setl_9001,pay_1001,order_1001,1013.73,0.00,0.00,1013.73,2026-08-04T11:00:00+05:30,processed
setl_9002,pay_1002,order_1002,1027.46,0.00,0.00,1027.46,2026-08-04T12:00:00+05:30,processed
setl_9003,pay_1003,order_1003,1041.19,0.00,0.00,1041.19,2026-08-04T13:00:00+05:30,processed
setl_9004,pay_1004,order_1004,1054.92,0.00,0.00,1054.92,2026-08-04T14:00:00+05:30,processed
setl_9005,pay_1005,order_1005,1068.65,0.00,0.00,1068.65,2026-08-04T15:00:00+05:30,processed
setl_9006,pay_1006,order_1006,1082.38,0.00,0.00,1082.38,2026-08-04T16:00:00+05:30,processed
setl_9007,pay_1007,order_1007,1096.11,0.00,0.00,1096.11,2026-08-04T17:00:00+05:30,processed
setl_9008,pay_1008,order_1008,1109.84,0.00,0.00,1109.84,2026-08-04T18:00:00+05:30,processed
setl_9009,pay_1009,order_1009,1123.57,0.00,0.00,1123.57,2026-08-04T19:00:00+05:30,processed
setl_9010,pay_1010,order_1010,1137.30,0.00,0.00,1137.30,2026-08-04T20:00:00+05:30,processed
setl_9011,pay_1011,order_1011,1151.03,0.00,0.00,1151.03,2026-08-04T21:00:00+05:30,processed
setl_9012,pay_1012,order_1012,1164.76,0.00,0.00,1164.76,2026-08-04T22:00:00+05:30,processed
setl_9013,pay_1013,order_1013,1178.49,0.00,0.00,1178.49,2026-08-04T23:00:00+05:30,processed
setl_9014,pay_1014,order_1014,1192.22,0.00,0.00,1192.22,2026-08-05T00:00:00+05:30,processed
setl_9015,pay_1015,order_1015,1205.95,0.00,0.00,1205.95,2026-08-05T01:00:00+05:30,processed
setl_9016,pay_1016,order_1016,1219.68,0.00,0.00,1219.68,2026-08-05T02:00:00+05:30,processed
setl_9017,pay_1017,order_1017,1233.41,0.00,0.00,1233.41,2026-08-05T03:00:00+05:30,processed
setl_9018,pay_1018,order_1018,1247.14,0.00,0.00,1247.14,2026-08-05T04:00:00+05:30,processed
setl_9019,pay_1019,order_1019,1260.87,0.00,0.00,1260.87,2026-08-05T05:00:00+05:30,processed
setl_9020,pay_1020,order_1020,1274.60,0.00,0.00,1274.60,2026-08-05T06:00:00+05:30,processed
setl_9021,pay_1021,order_1021,1288.33,0.00,0.00,1288.33,2026-08-05T07:00:00+05:30,processed
setl_9022,pay_1022,order_1022,1302.06,0.00,0.00,1302.06,2026-08-05T08:00:00+05:30,processed
setl_9023,pay_1023,order_1023,1315.79,0.00,0.00,1315.79,2026-08-05T09:00:00+05:30,processed
setl_9024,pay_1024,order_1024,1329.52,0.00,0.00,1329.52,2026-08-05T10:00:00+05:30,processed
setl_9025,pay_1025,order_1025,1343.25,0.00,0.00,1343.25,2026-08-05T11:00:00+05:30,processed
setl_9026,pay_1026,order_1026,1356.98,0.00,0.00,1356.98,2026-08-05T12:00:00+05:30,processed
setl_9027,pay_1027,order_1027,1370.71,0.00,0.00,1370.71,2026-08-05T13:00:00+05:30,processed
setl_9028,pay_1028,order_1028,1384.44,0.00,0.00,1384.44,2026-08-05T14:00:00+05:30,processed
setl_9029,pay_1029,order_1029,1398.17,0.00,0.00,1398.17,2026-08-05T15:00:00+05:30,processed
setl_9030,pay_1030,order_1030,1411.90,0.00,0.00,1411.90,2026-08-05T16:00:00+05:30,processed
setl_9031,pay_1031,order_1031,1425.63,0.00,0.00,1425.63,2026-08-05T17:00:00+05:30,processed
setl_9032,pay_1032,order_1032,1439.36,0.00,0.00,1439.36,2026-08-05T18:00:00+05:30,processed
setl_9033,pay_1033,order_1033,1453.09,0.00,0.00,1453.09,2026-08-05T19:00:00+05:30,processed
setl_9034,pay_1034,order_1034,1466.82,0.00,0.00,1466.82,2026-08-05T20:00:00+05:30,processed
setl_9035,pay_1035,order_1035,1480.55,29.61,5.32,1445.62,2026-08-05T21:00:00+05:30,processed
setl_9036,pay_1036,order_1036,1494.28,29.88,5.37,1459.03,2026-08-05T22:00:00+05:30,processed
setl_9037,pay_1037,order_1037,1508.01,30.16,5.42,1472.43,2026-08-05T23:00:00+05:30,processed
setl_9038,pay_1038,order_1038,1521.74,30.43,5.47,1485.84,2026-08-06T00:00:00+05:30,processed
